stuck - 0.006531 0.048046
manag - 0.006350 0.030130
mileag - 0.006350 0.028502
sell - 0.005987 0.027687
ewr - 0.006531 0.028502
wait - 0.011067 0.095277
stop - 0.006713 0.041531
send - 0.011248 0.037459
stuff - 0.005806 0.030130
each - 0.005987 0.030130
sens - 0.005806 0.026059
sent - 0.014332 0.044788
frustrat - 0.005806 0.031759
you - 0.128628 0.480456
issu - 0.008164 0.057818
near - 0.005987 0.026059
job - 0.008345 0.028502
patient - 0.005806 0.027687
serv - 0.005987 0.029316
group - 0.005806 0.026059
want - 0.012881 0.052932
their - 0.009434 0.048860
more - 0.012518 0.057003
itinerari - 0.006168 0.027687
morn - 0.009071 0.034202
begin - 0.006168 0.026873
notif - 0.005806 0.027687
aircraft - 0.005806 0.028502
need - 0.018324 0.099349
travel - 0.012881 0.052932
avail - 0.007801 0.034202
most - 0.005987 0.032573
can - 0.037554 0.128664
car - 0.006350 0.034202
request - 0.008164 0.035016
choic - 0.005806 0.026873
record - 0.006168 0.029316
believ - 0.007075 0.028502
along - 0.005987 0.026059
red - 0.006168 0.026059
move - 0.006894 0.028502
rep - 0.006350 0.039902
redeem - 0.006350 0.026059
exist - 0.005806 0.027687
amaz - 0.009797 0.026873
jetblu - 0.005987 0.026059
qualiti - 0.005806 0.026059
alway - 0.007983 0.030130
improv - 0.005806 0.028502
chicago - 0.006713 0.030130
monday - 0.006531 0.028502
wifi - 0.007257 0.038274
airlin - 0.012155 0.089577
wife - 0.007075 0.038274
provid - 0.007075 0.034202
type - 0.006168 0.026059
there - 0.021589 0.079805
these - 0.007438 0.030945
the - 0.013425 0.040717
hold - 0.007801 0.088762
earn - 0.005987 0.026873
trust - 0.005987 0.026059
knew - 0.005987 0.030130
home - 0.011792 0.040717
basic - 0.005987 0.026059
report - 0.005806 0.034202
tonight - 0.008890 0.028502
will - 0.027395 0.088762
hope - 0.011430 0.040717
employe - 0.007075 0.041531
row - 0.005987 0.027687
american - 0.007257 0.026059
peopl - 0.009071 0.052932
fll - 0.005806 0.030945
such - 0.006894 0.033388
flt - 0.005987 0.026059
handl - 0.006350 0.029316
contact - 0.008345 0.036645
full - 0.005806 0.035016
item - 0.006350 0.030130
upgrad - 0.009071 0.030945
group - 0.006350 0.031759
outsid - 0.005806 0.026873
taken - 0.006894 0.026873
code - 0.006350 0.026059
remind - 0.005987 0.026059
another - 0.005987 0.029316
schedul - 0.006894 0.030945
sound - 0.006350 0.026059
for - 0.006350 0.026873
mention - 0.005806 0.030945
trip - 0.011430 0.038274
hour - 0.007075 0.079805
bought - 0.006350 0.029316
transfer - 0.005806 0.029316
least - 0.005987 0.030130
tri - 0.006531 0.034202
news - 0.005806 0.026873
comput - 0.005806 0.026059
wish - 0.007983 0.029316
run - 0.006531 0.030945
made - 0.011067 0.046417
right - 0.009253 0.038274
ride - 0.006350 0.026873
know - 0.021771 0.057818
rate - 0.006350 0.026873
next - 0.012700 0.042345
with - 0.039369 0.193811
passeng - 0.007620 0.043160
promo - 0.006168 0.026059
letter - 0.005806 0.030130
formal - 0.005987 0.026873
kid - 0.006531 0.026873
until - 0.006713 0.034202
cold - 0.006531 0.026059
come - 0.010704 0.040717
comp - 0.005806 0.026873
make - 0.017598 0.068404
board - 0.010522 0.068404
other - 0.009978 0.046417
current - 0.008164 0.030130
deal - 0.008708 0.035016
anyon - 0.006168 0.032573
sure - 0.010704 0.037459
afternoon - 0.005987 0.026059
true - 0.006350 0.026873
mani - 0.008164 0.036645
minor - 0.005987 0.026059
well - 0.006531 0.029316
differ - 0.007075 0.035831
chat - 0.005806 0.026873
would - 0.006531 0.026059
point - 0.008527 0.038274
sad - 0.005806 0.030945
cost - 0.006713 0.031759
around - 0.006531 0.030130
say - 0.009978 0.058632
confus - 0.005806 0.026873
not - 0.006168 0.027687
discuss - 0.005806 0.026059
usual - 0.006168 0.028502
day - 0.010160 0.053746
anyth - 0.007257 0.032573
comment - 0.005987 0.026873
companion - 0.007983 0.028502
phone - 0.005806 0.026059
locat - 0.006168 0.026873
weather - 0.008708 0.043160
see - 0.017054 0.042345
minut - 0.006894 0.028502
set - 0.007075 0.027687
poor - 0.005987 0.038274
veri - 0.009615 0.052117
littl - 0.008527 0.032573
multipl - 0.005806 0.030945
she - 0.008345 0.038274
haha - 0.006531 0.026873
airport - 0.009797 0.054560
sooner - 0.005806 0.026059
feb - 0.006168 0.026873
might - 0.006894 0.031759
mayb - 0.005806 0.030130
sit - 0.005987 0.053746
post - 0.006350 0.032573
chanc - 0.009797 0.031759
about - 0.017417 0.084691
chang - 0.014151 0.064332
airway - 0.009978 0.026059
relat - 0.006350 0.029316
did - 0.011792 0.073290
die - 0.005806 0.026873
continu - 0.006713 0.031759
flightat - 0.005806 0.026873
juan - 0.005987 0.026873
nyc - 0.006894 0.030945
okay - 0.006713 0.026059
mile - 0.007438 0.026873
problem - 0.009615 0.036645
snow - 0.007438 0.026873
rapid - 0.005806 0.026873
charg - 0.006531 0.039902
hand - 0.005806 0.026059
hang - 0.005806 0.031759
resolv - 0.006350 0.028502
first - 0.012337 0.047231
desk - 0.006168 0.031759
son - 0.006713 0.026059
quick - 0.009797 0.029316
doe - 0.010341 0.050489
dog - 0.005806 0.026059
again - 0.007801 0.051303
flt - 0.005806 0.026059
requir - 0.005987 0.026059
window - 0.005806 0.026873
flight - 0.023041 0.152280
clear - 0.005987 0.028502
would - 0.021045 0.100977
absolut - 0.006168 0.034202
airfar - 0.006531 0.026059
hard - 0.006531 0.033388
complet - 0.006168 0.033388
delay - 0.010160 0.117264
newark - 0.006894 0.028502
lax - 0.005987 0.027687
miss - 0.008890 0.066775
glad - 0.006350 0.026873
pilot - 0.007983 0.036645
cannot - 0.005806 0.035016
premier - 0.005987 0.026059
hate - 0.005987 0.030945
phone - 0.009253 0.064332
leav - 0.008708 0.046417
leg - 0.005987 0.027687
have - 0.044993 0.247557
due - 0.006894 0.053746
amount - 0.005987 0.026873
media - 0.005987 0.026059
let - 0.008890 0.054560
proper - 0.005806 0.026059
onli - 0.006531 0.027687
flyer - 0.005806 0.028502
termin - 0.006350 0.027687
refresh - 0.005806 0.026059
number - 0.011611 0.043160
storm - 0.005806 0.026873
someon - 0.007438 0.050489
new - 0.008708 0.026873
love - 0.008890 0.026059
lie - 0.005987 0.029316
deliv - 0.006168 0.028502
left - 0.008890 0.042345
call - 0.010160 0.106678
ground - 0.006168 0.035831
came - 0.005987 0.028502
just - 0.016509 0.032573
price - 0.006350 0.030130
someth - 0.007438 0.033388
cant - 0.006168 0.028502
yeah - 0.005806 0.029316
year - 0.009253 0.028502
depart - 0.007075 0.029316
lol - 0.006894 0.026059
brand - 0.005987 0.026059
myself - 0.006168 0.029316
lot - 0.006894 0.030945
ipad - 0.005806 0.026059
omg - 0.006531 0.026059
enjoy - 0.006713 0.026059
paid - 0.005806 0.036645
card - 0.007620 0.028502
care - 0.009071 0.041531
hire - 0.005987 0.030130
your - 0.008527 0.040717
good - 0.007620 0.026059
ticket - 0.015421 0.062704
actual - 0.007438 0.038274
info - 0.008164 0.033388
connect - 0.008890 0.051303
not - 0.007620 0.031759
now - 0.006350 0.026873
folk - 0.005806 0.026873
previous - 0.005987 0.026059
process - 0.006713 0.033388
food - 0.005987 0.034202
earli - 0.007075 0.029316
caus - 0.006713 0.030945
ord - 0.006531 0.033388
initi - 0.005987 0.026059
reimburs - 0.006168 0.027687
speak - 0.006350 0.039902
troubl - 0.006350 0.032573
servic - 0.007257 0.026873
probabl - 0.006531 0.028502
often - 0.005806 0.026059
hotel - 0.006168 0.043160
mileageplus - 0.005987 0.026059
less - 0.006168 0.033388
form - 0.006350 0.030130
round - 0.006168 0.026873
the - 0.169086 0.731270
tho - 0.005987 0.026059
thx - 0.006168 0.032573
speed - 0.005806 0.026059
sever - 0.006168 0.035016
supervisor - 0.005806 0.030945
tix - 0.005987 0.026873
get - 0.006168 0.026059
part - 0.006713 0.027687
some - 0.011974 0.047231
pick - 0.007075 0.032573
compens - 0.005987 0.030945
pass - 0.008527 0.034202
past - 0.006531 0.027687
hello - 0.005806 0.026059
dure - 0.006894 0.030130
never - 0.006350 0.026059
situat - 0.006168 0.029316
pleas - 0.009978 0.032573
team - 0.007438 0.030945
where - 0.006350 0.026059
els - 0.005987 0.029316
track - 0.006350 0.026059
miami - 0.005987 0.030130
that - 0.010704 0.029316
after - 0.011611 0.064332
custom - 0.007075 0.027687
channel - 0.005806 0.026059
staff - 0.008527 0.043160
too - 0.007257 0.038274
bring - 0.008164 0.026873
